competition,club_name,football_data_team_id,aliases,ground_name,postcode,latitude,longitude,official_site_url,ticket_url,price_source_url,ground_source_url,coordinates_source_url,verified_at
ELC,Blackburn Rovers,59,Blackburn Rovers FC|Rovers,Ewood Park,BB2 4JF,53.729141,-2.489562,https://www.rovers.co.uk/,https://www.rovers.co.uk/tickets/,https://www.rovers.co.uk/tickets/,https://www.rovers.co.uk/,https://api.postcodes.io/postcodes/BB24JF,2026-05-10
ELC,Norwich City,68,Norwich City FC|Canaries,Carrow Road,NR1 1JE,52.622405,1.308627,https://www.canaries.co.uk/,https://tickets.canaries.co.uk/,https://tickets.canaries.co.uk/,https://www.canaries.co.uk/,https://api.postcodes.io/postcodes/NR11JE,2026-05-10
ELC,Queens Park Rangers,69,Queens Park Rangers FC|QPR,Loftus Road,W12 7PJ,51.509694,-0.232085,https://www.qpr.co.uk/,https://www.eticketing.co.uk/qpr/,https://www.eticketing.co.uk/qpr/,https://www.qpr.co.uk/,https://api.postcodes.io/postcodes/W127PJ,2026-05-10
ELC,Stoke City,70,Stoke City FC|Stoke,bet365 Stadium,ST4 4EG,52.988272,-2.176078,https://www.stokecityfc.com/,https://www.stokecityfc.com/tickets/,https://www.stokecityfc.com/tickets/,https://www.stokecityfc.com/,https://api.postcodes.io/postcodes/ST44EG,2026-05-10
ELC,Swansea City,72,Swansea City AFC|Swansea,Swansea.com Stadium,SA1 2FA,51.642161,-3.935137,https://www.swanseacity.com/,https://www.swanseacity.com/tickets,https://www.swanseacity.com/tickets,https://www.swanseacity.com/,https://api.postcodes.io/postcodes/SA12FA,2026-05-10
ELC,West Bromwich Albion,74,West Bromwich Albion FC|West Brom,The Hawthorns,B71 4LF,52.509018,-1.963293,https://www.wba.co.uk/,https://www.wba.co.uk/tickets,https://www.wba.co.uk/tickets,https://www.wba.co.uk/,https://api.postcodes.io/postcodes/B714LF,2026-05-10
ELC,Hull City,322,Hull City AFC|Hull,MKM Stadium,HU3 6HU,53.745752,-0.368022,https://www.wearehullcity.co.uk/,https://www.wearehullcity.co.uk/tickets/,https://www.wearehullcity.co.uk/tickets/,https://www.wearehullcity.co.uk/,https://api.postcodes.io/postcodes/HU36HU,2026-05-10
ELC,Portsmouth,325,Portsmouth FC|Pompey,Fratton Park,PO4 8RA,50.795912,-1.064868,https://www.portsmouthfc.co.uk/,https://www.portsmouthfc.co.uk/tickets/,https://www.portsmouthfc.co.uk/tickets/,https://www.portsmouthfc.co.uk/,https://api.postcodes.io/postcodes/PO48RA,2026-05-10
ELC,Birmingham City,332,Birmingham City FC|Birmingham,St Andrew's @ Knighthead Park,B9 4RL,52.474936,-1.864108,https://www.bcfc.com/,https://www.bcfc.com/tickets/,https://www.bcfc.com/tickets/,https://www.bcfc.com/,https://api.postcodes.io/postcodes/B94RL,2026-05-10
ELC,Leicester City,338,Leicester City FC|Leicester,King Power Stadium,LE2 7FL,52.620622,-1.143047,https://www.lcfc.com/,https://www.lcfc.com/tickets/,https://www.lcfc.com/tickets/,https://www.lcfc.com/,https://api.postcodes.io/postcodes/LE27FL,2026-05-10
ELC,Southampton,340,Southampton FC|Saints,St Mary's Stadium,SO14 5FP,50.906521,-1.390814,https://www.southamptonfc.com/,https://www.southamptonfc.com/en/tickets,https://www.southamptonfc.com/en/tickets,https://www.southamptonfc.com/,https://api.postcodes.io/postcodes/SO145FP,2026-05-10
ELC,Derby County,342,Derby County FC|Derby,Pride Park Stadium,DE24 8XL,52.914633,-1.447968,https://www.dcfc.co.uk/,https://www.dcfc.co.uk/tickets/,https://www.dcfc.co.uk/tickets/,https://www.dcfc.co.uk/,https://api.postcodes.io/postcodes/DE248XL,2026-05-10
ELC,Middlesbrough,343,Middlesbrough FC|Boro,Riverside Stadium,TS3 6RS,54.578137,-1.217779,https://www.mfc.co.uk/,https://www.mfc.co.uk/tickets/,https://www.mfc.co.uk/tickets/,https://www.mfc.co.uk/,https://api.postcodes.io/postcodes/TS36RS,2026-05-10
ELC,Sheffield Wednesday,345,Sheffield Wednesday FC|Wednesday,Hillsborough,S6 1SW,53.410844,-1.500859,https://www.swfc.co.uk/,https://www.swfc.co.uk/tickets/,https://www.swfc.co.uk/tickets/,https://www.swfc.co.uk/,https://api.postcodes.io/postcodes/S61SW,2026-05-10
ELC,Watford,346,Watford FC|Watford,Vicarage Road,WD18 0ER,51.649275,-0.400727,https://www.watfordfc.com/,https://www.watfordfc.com/tickets/,https://www.watfordfc.com/tickets/,https://www.watfordfc.com/,https://api.postcodes.io/postcodes/WD180ER,2026-05-10
ELC,Charlton Athletic,348,Charlton Athletic FC|Charlton,The Valley,SE7 8BL,51.486242,0.037178,https://www.charltonafc.com/,https://www.charltonafc.com/tickets,https://www.charltonafc.com/tickets,https://www.charltonafc.com/,https://api.postcodes.io/postcodes/SE78BL,2026-05-10
ELC,Ipswich Town,349,Ipswich Town FC|Ipswich,Portman Road,IP1 2DA,52.054746,1.144645,https://www.itfc.co.uk/,https://www.itfc.co.uk/tickets/,https://www.itfc.co.uk/tickets/,https://www.itfc.co.uk/,https://api.postcodes.io/postcodes/IP12DA,2026-05-10
ELC,Sheffield United,356,Sheffield United FC|Blades,Bramall Lane,S2 4SU,53.369878,-1.470511,https://www.sufc.co.uk/,https://www.sufc.co.uk/tickets/,https://www.sufc.co.uk/tickets/,https://www.sufc.co.uk/,https://api.postcodes.io/postcodes/S24SU,2026-05-10
ELC,Millwall,384,Millwall FC|Millwall,The Den,SE16 3LN,51.486672,-0.051027,https://www.millwallfc.co.uk/,https://www.millwallfc.co.uk/tickets/,https://www.millwallfc.co.uk/tickets/,https://www.millwallfc.co.uk/,https://api.postcodes.io/postcodes/SE163LN,2026-05-10
ELC,Bristol City,387,Bristol City FC|Bristol City,Ashton Gate,BS3 2EJ,51.440711,-2.620604,https://www.bcfc.co.uk/,https://www.bcfc.co.uk/tickets/,https://www.bcfc.co.uk/tickets/,https://www.bcfc.co.uk/,https://api.postcodes.io/postcodes/BS32EJ,2026-05-10
ELC,Wrexham,404,Wrexham AFC|Wrexham,SToK Cae Ras,LL11 2AH,53.051259,-3.003854,https://www.wrexhamafc.co.uk/,https://www.wrexhamafc.co.uk/tickets/,https://www.wrexhamafc.co.uk/tickets/,https://www.wrexhamafc.co.uk/,https://api.postcodes.io/postcodes/LL112AH,2026-05-10
